,pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y,lon,lat
932,2015006765.0,1.0,1.0,1.0,4000.0,375.0,337.0,,7800224.0,,,,,11.0,2015.0,5.0,68.0,4.0,1.0,2.0,3.0,2.0,3.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,200150.0,746977.0,34.99827952888032,32.817345152921234
959,2015006979.0,1.0,1.0,1.0,4000.0,628.0,634.0,,8820421.0,,,,,11.0,2015.0,10.0,35.0,4.0,1.0,5.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,199178.0,744595.0,34.987952199923996,32.795849436963266
967,2015007044.0,1.0,1.0,1.0,4000.0,748.0,554.0,,11160322.0,,,,,11.0,2015.0,6.0,62.0,4.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,1.0,3.0,31.0,311.0,0.0,13.0,1.0,196453.0,747291.0,34.95879378589347,32.820105218567086
972,2015007072.0,1.0,1.0,2.0,4000.0,195.0,,267.0,,,,,,11.0,2015.0,7.0,57.0,4.0,1.0,3.0,3.0,4.0,3.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,206917.0,746307.0,35.070549463437594,32.81140194645925
982,2015007156.0,1.0,1.0,1.0,4000.0,274.0,195.0,,18160001.0,,,,,11.0,2015.0,12.0,66.0,4.0,1.0,5.0,3.0,2.0,0.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,203793.0,744193.0,35.03722797076129,32.792300097456405
1088,2015008024.0,1.0,1.0,1.0,4000.0,4067.0,,,,,,,,11.0,2015.0,9.0,53.0,4.0,1.0,2.0,3.0,2.0,3.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,2.0,201127.0,745458.0,35.008742339642424,32.803665252263684
1112,2015008235.0,1.0,1.0,1.0,4000.0,762.0,781.0,,18380437.0,,,,,11.0,2015.0,3.0,38.0,4.0,1.0,1.0,3.0,2.0,3.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,199604.0,741424.0,34.992567868763125,32.76726458028284
1125,2015008329.0,1.0,1.0,1.0,4000.0,622.0,601.0,,210411.0,,,,,11.0,2015.0,9.0,39.0,4.0,1.0,4.0,2.0,1.0,0.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,2.0,3.0,31.0,311.0,0.0,13.0,1.0,199009.0,743396.0,34.986174391729826,32.785035045661566
1150,2015008481.0,1.0,1.0,1.0,4000.0,1161.0,554.0,,9210322.0,,,,,11.0,2015.0,2.0,33.0,4.0,1.0,6.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0,5.0,11.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,196242.0,747494.0,34.956535498384866,32.821931195079785
1268,2015009406.0,1.0,1.0,1.0,4000.0,690.0,6007.0,,18380409.0,,,,,11.0,2015.0,6.0,51.0,4.0,1.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,1.0,3.0,31.0,311.0,0.0,13.0,1.0,198157.0,745949.0,34.977021118292726,32.8080389729131
